timestamp,left (real time),event,event_type,buy_pick,buy_price,buy_size,buy_best_bid,buy_best_ask
2026-01-13 23:30:01,899,"Bitcoin Up or Down - January 13, 10:45AM-11:00AM ET",price_change,DOWN,0.44,1257.74,0.5,0.51
2026-01-13 23:30:02,898,"Bitcoin Up or Down - January 13, 10:45AM-11:00AM ET",price_change,DOWN,0.26,10,0.5,0.51
2026-01-13 23:30:02,898,"Bitcoin Up or Down - January 13, 10:45AM-11:00AM ET",price_change,UP,0.46,575.74,0.49,0.5
2026-01-13 23:30:05,895,"Bitcoin Up or Down - January 13, 10:45AM-11:00AM ET",price_change,UP,0.49,246,0.49,0.5
2026-01-13 23:30:06,895,"Bitcoin Up or Down - January 13, 10:45AM-11:00AM ET",price_change,UP,0.49,241,0.49,0.5
2026-01-13 23:30:06,894,"Bitcoin Up or Down - January 13, 10:45AM-11:00AM ET",price_change,DOWN,0.49,42,0.5,0.51
2026-01-13 23:30:07,892,"Bitcoin Up or Down - January 13, 10:45AM-11:00AM ET",price_change,DOWN,0.46,618.74,0.5,0.51
2026-01-13 23:30:07,892,"Bitcoin Up or Down - January 13, 10:45AM-11:00AM ET",price_change,UP,0.46,618.74,0.49,0.5
2026-01-13 23:30:08,891,"Bitcoin Up or Down - January 13, 10:45AM-11:00AM ET",price_change,DOWN,0.48,2151.93,0.5,0.51
2026-01-13 23:30:09,891,"Bitcoin Up or Down - January 13, 10:45AM-11:00AM ET",price_change,UP,0.02,1594.33,0.49,0.5
2026-01-13 23:30:10,890,"Bitcoin Up or Down - January 13, 10:45AM-11:00AM ET",price_change,UP,0.48,2207.93,0.49,0.5
2026-01-13 23:30:10,890,"Bitcoin Up or Down - January 13, 10:45AM-11:00AM ET",price_change,DOWN,0.5,2668.12,0.5,0.51
2026-01-13 23:30:11,889,"Bitcoin Up or Down - January 13, 10:45AM-11:00AM ET",price_change,UP,0.1,2058,0.49,0.5
2026-01-13 23:30:11,889,"Bitcoin Up or Down - January 13, 10:45AM-11:00AM ET",price_change,DOWN,0.49,32,0.5,0.51
2026-01-13 23:30:12,888,"Bitcoin Up or Down - January 13, 10:45AM-11:00AM ET",price_change,DOWN,0.46,623.74,0.5,0.51
2026-01-13 23:30:12,888,"Bitcoin Up or Down - January 13, 10:45AM-11:00AM ET",price_change,UP,0.49,237,0.49,0.5
2026-01-13 23:30:14,886,"Bitcoin Up or Down - January 13, 10:45AM-11:00AM ET",price_change,UP,0.45,2418.74,0.49,0.5
2026-01-13 23:30:16,884,"Bitcoin Up or Down - January 13, 10:45AM-11:00AM ET",price_change,DOWN,0.5,2663.12,0.5,0.51
2026-01-13 23:30:16,884,"Bitcoin Up or Down - January 13, 10:45AM-11:00AM ET",price_change,UP,0.1,2058,0.49,0.5
2026-01-13 23:30:17,884,"Bitcoin Up or Down - January 13, 10:45AM-11:00AM ET",price_change,UP,0.1,2048,0.49,0.5
2026-01-13 23:30:17,883,"Bitcoin Up or Down - January 13, 10:45AM-11:00AM ET",price_change,DOWN,0.45,2418.74,0.5,0.51
