timestamp,time_left,event,event_type,buy_pick,buy_price,buy_size,buy_best_bid,buy_best_ask
2026-01-16 09:02:31,749,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.48,1050.91,0.62,0.64
2026-01-16 09:02:31,749,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.35,180,0.36,0.38
2026-01-16 09:02:32,748,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.61,421.19,0.63,0.64
2026-01-16 09:02:32,748,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.32,315.64,0.36,0.37
2026-01-16 09:02:33,747,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.32,320.64,0.36,0.37
2026-01-16 09:02:33,747,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.61,441.19,0.63,0.64
2026-01-16 09:02:34,746,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.61,466.19,0.62,0.63
2026-01-16 09:02:34,746,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.36,221,0.37,0.38
2026-01-16 09:02:35,745,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.61,456.19,0.62,0.64
2026-01-16 09:02:35,745,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.34,201,0.36,0.38
2026-01-16 09:02:36,744,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.61,506.58,0.62,0.64
2026-01-16 09:02:36,744,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.32,317.96,0.36,0.38
2026-01-16 09:02:37,743,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.63,229.12,0.63,0.64
2026-01-16 09:02:37,743,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.34,201,0.36,0.37
2026-01-16 09:02:38,742,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.62,408.13,0.63,0.64
2026-01-16 09:02:38,742,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.35,175,0.36,0.37
2026-01-16 09:02:39,741,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.34,131,0.36,0.37
2026-01-16 09:02:39,741,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.48,555.36,0.63,0.64
2026-01-16 09:02:40,740,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.61,518.5,0.63,0.64
2026-01-16 09:02:40,740,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.33,285.15,0.36,0.37
2026-01-16 09:02:41,739,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.33,319.15,0.36,0.37
2026-01-16 09:02:41,739,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.61,533.5,0.63,0.64
2026-01-16 09:02:42,738,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.62,319.85,0.63,0.64
2026-01-16 09:02:42,738,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.32,322.96,0.36,0.37
2026-01-16 09:02:43,737,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.36,830.55,0.36,0.37
2026-01-16 09:02:43,737,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.48,581.22,0.63,0.64
2026-01-16 09:02:44,736,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.61,518.11,0.63,0.64
2026-01-16 09:02:44,736,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.32,322.96,0.36,0.37
2026-01-16 09:02:45,735,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.61,496.19,0.62,0.63
2026-01-16 09:02:45,735,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.32,317.96,0.37,0.38
2026-01-16 09:02:46,734,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.32,312.96,0.36,0.37
2026-01-16 09:02:46,734,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.61,441.58,0.63,0.64
2026-01-16 09:02:47,733,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.39,191,0.63,0.64
2026-01-16 09:02:47,733,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.36,802.53,0.36,0.37
2026-01-16 09:02:48,732,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.62,254.99,0.63,0.64
2026-01-16 09:02:48,732,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.26,374,0.36,0.37
2026-01-16 09:02:49,731,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.63,173.14,0.63,0.64
2026-01-16 09:02:49,731,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.33,339.15,0.36,0.37
2026-01-16 09:02:50,730,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.36,372.23,0.36,0.38
2026-01-16 09:02:50,730,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.61,446.58,0.62,0.64
2026-01-16 09:02:51,729,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.37,126,0.37,0.38
2026-01-16 09:02:51,729,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.48,660.36,0.62,0.63
2026-01-16 09:02:52,728,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.09,215.55,0.37,0.38
2026-01-16 09:02:52,728,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.61,520.58,0.62,0.63
2026-01-16 09:02:53,727,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.62,236.65,0.62,0.63
2026-01-16 09:02:53,727,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.37,92.22,0.37,0.38
2026-01-16 09:02:54,726,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.33,436.15,0.37,0.38
2026-01-16 09:02:54,726,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.57,463.92,0.62,0.63
2026-01-16 09:02:55,725,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.55,810.65,0.59,0.6
2026-01-16 09:02:55,725,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.13,85.69,0.4,0.41
2026-01-16 09:02:56,724,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.58,115.92,0.58,0.59
2026-01-16 09:02:56,724,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.32,446.28,0.41,0.42
2026-01-16 09:02:57,723,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.48,610.36,0.57,0.58
2026-01-16 09:02:57,723,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.4,279.47,0.42,0.43
2026-01-16 09:02:58,722,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.4,314.47,0.41,0.42
2026-01-16 09:02:58,722,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.48,641.22,0.58,0.59
2026-01-16 09:02:59,721,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,DOWN,0.56,234,0.58,0.59
2026-01-16 09:02:59,721,"Bitcoin Up or Down - January 15, 8:00PM-8:15PM ET",price_change,UP,0.37,368.57,0.41,0.42
